Name;Index;Branch
SR 1 north (Pacific Coast Highway) Oxnard;1;NULL
"4th Street, 5th Street";10;NULL
SR 1 south (Lincoln Boulevard) to SR 2 east;17;NULL
20th Street;36;NULL
Cloverfield Boulevard;39;NULL
Centinela Avenue;63;NULL
Bundy Drive;69;NULL
"I-405 (San Diego Freeway) Sacramento, LAX Airport, Long Beach";75;"I-10 (Santa Monica Freeway)   Santa Monica, Los Angeles"
"National Boulevard, Overland Avenue";90;NULL
National Boulevard;106;NULL
Robertson Boulevard Culver City;109;NULL
"La Cienega Boulevard, Venice Boulevard (SR 187 west)";118;NULL
"Fairfax Avenue, Washington Boulevard";133;NULL
La Brea Avenue;135;NULL
Crenshaw Boulevard;138;NULL
Arlington Avenue;144;NULL
"Western Avenue, Normandie Avenue";152;NULL
"Hoover Street, Vermont Avenue";164;NULL
Hoover Street;176;NULL
"I-110 south (Harbor Freeway) / SR 110 north (Harbor Freeway) / Pico Boulevard San Pedro, Pasadena, Downtown Los Angeles";178;NULL
Grand Avenue;180;NULL
Los Angeles Street Convention Center;192;NULL
Maple Avenue;200;NULL
San Pedro Street;206;NULL
Central Avenue;217;NULL
Alameda Street;224;NULL
"Mateo Street, Santa Fe Avenue";236;NULL
"I-5 south (Santa Ana Freeway) / SR 60 east (Pomona Freeway) Santa Ana, Pomona";247;SR 60 east (Pomona Freeway) / Soto Street Pomona
Boyle Avenue;258;Seventh Street
Fourth Street;269;NULL
Cesar Chavez Avenue;279;NULL
I-5 north (Golden State Freeway) Sacramento;287;NULL
"US 101 north (Santa Ana Freeway via San Bernardino Freeway) Los Angeles, Hollywood";295;I-10 east (San Bernardino Freeway) San Bernardino
State Street;305;NULL
Soto Street;313;NULL
City Terrace Drive;314;NULL
Eastern Avenue;336;NULL
